ablation,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_ece,ci95_ece,mean_regret,ci95_regret,mean_utility,ci95_utility,groups
full_goal_belief_revision_v5,0,0.750868,0.026536,0.719447,0.002877,0.600973,0.002957,0.013021,0.006343,0.000868,0.001701,0.00434,0.003764,0.5625,0.028999,0.567708,0.02815,0.512142,0.010312,0.272688,0.001055,0.034817,0.001068,0.217203,0.023091,0.685033,0.027039,192
full_goal_belief_revision_v5,1,0.760417,0.02491,0.719997,0.00277,0.599737,0.002791,0.010417,0.006662,0.0,0.0,0.006076,0.00443,0.544271,0.03115,0.559028,0.029443,0.515937,0.010501,0.272695,0.000891,0.035346,0.001044,0.208995,0.0218,0.69442,0.024993,192
full_goal_belief_revision_v5,2,0.778646,0.022523,0.719178,0.002637,0.601203,0.002766,0.008681,0.005252,0.000868,0.001701,0.006076,0.00443,0.524306,0.026201,0.564236,0.028619,0.512525,0.010723,0.272321,0.000912,0.034854,0.000984,0.192843,0.019631,0.712283,0.023286,192
full_goal_belief_revision_v5,3,0.775174,0.023859,0.719415,0.002822,0.598383,0.002803,0.014757,0.007135,0.001736,0.003403,0.008681,0.00578,0.544271,0.026725,0.575521,0.027589,0.513808,0.010626,0.272148,0.00083,0.035215,0.001055,0.196164,0.020826,0.703674,0.02518,192
full_goal_belief_revision_v5,4,0.771701,0.022934,0.718459,0.002602,0.601361,0.002702,0.013889,0.00737,0.000868,0.001701,0.009549,0.006,0.546875,0.028278,0.561632,0.029087,0.512205,0.010635,0.272563,0.00091,0.035447,0.001159,0.19853,0.019894,0.700752,0.024267,192
full_goal_belief_revision_v5,5,0.792535,0.023851,0.718537,0.002874,0.600691,0.002818,0.011285,0.007261,0.002604,0.002931,0.006076,0.00443,0.544271,0.027793,0.547743,0.026714,0.512812,0.010786,0.272772,0.000948,0.035157,0.001068,0.181364,0.02091,0.722774,0.02582,192
full_goal_belief_revision_v5,6,0.775174,0.02349,0.71924,0.002741,0.599965,0.002731,0.008681,0.005252,0.002604,0.002931,0.010417,0.006209,0.53125,0.027677,0.553819,0.027715,0.513775,0.010373,0.272192,0.000922,0.034851,0.001096,0.195569,0.020442,0.704565,0.024319,192
full_goal_belief_revision_v5,7,0.778646,0.025776,0.71956,0.002792,0.600869,0.002799,0.011285,0.00641,0.000868,0.001701,0.008681,0.005252,0.552083,0.028301,0.573785,0.027578,0.516647,0.010493,0.272958,0.00091,0.034545,0.00105,0.19249,0.022307,0.710839,0.027137,192
full_goal_belief_revision_v5,8,0.773438,0.023894,0.718794,0.002863,0.601151,0.002815,0.006944,0.004723,0.0,0.0,0.005208,0.004113,0.557292,0.027785,0.544271,0.028105,0.513758,0.010554,0.272346,0.000916,0.035181,0.001051,0.197427,0.020862,0.71091,0.024586,192
full_goal_belief_revision_v5,9,0.778646,0.024973,0.718853,0.002768,0.601069,0.002985,0.010417,0.006209,0.000868,0.001701,0.011285,0.00641,0.532118,0.028741,0.53125,0.028198,0.514798,0.010639,0.272429,0.000951,0.034905,0.001043,0.192952,0.021753,0.706892,0.026082,192
minus_abandonment_calibration,0,0.75,0.02587,0.711385,0.002727,0.601627,0.002857,0.032118,0.009323,0.021701,0.008655,0.03559,0.010549,0.539062,0.028972,0.576389,0.031253,0.520515,0.010569,0.268761,0.000946,0.072906,0.001125,0.217755,0.022457,0.621598,0.030428,192
minus_abandonment_calibration,1,0.756076,0.025287,0.710979,0.002818,0.600137,0.002848,0.028646,0.009548,0.013889,0.006964,0.040799,0.012477,0.518229,0.031945,0.560764,0.029863,0.520788,0.010793,0.268987,0.000922,0.073196,0.001071,0.212379,0.022004,0.633188,0.028494,192
minus_abandonment_calibration,2,0.743056,0.025625,0.712173,0.002594,0.600783,0.002676,0.03125,0.009536,0.019097,0.007906,0.033854,0.010933,0.545139,0.029836,0.567708,0.03053,0.520262,0.010605,0.268548,0.000939,0.072589,0.001087,0.223606,0.022237,0.619928,0.027821,192
minus_abandonment_calibration,3,0.725694,0.025978,0.710896,0.002709,0.599684,0.002967,0.032118,0.009928,0.018229,0.007377,0.032986,0.010303,0.541667,0.030034,0.552951,0.029821,0.520518,0.01051,0.268477,0.000945,0.072528,0.001061,0.238988,0.022632,0.602892,0.029718,192
minus_abandonment_calibration,4,0.756944,0.026737,0.709857,0.002866,0.601436,0.00291,0.03125,0.010128,0.017361,0.00722,0.024306,0.008684,0.515625,0.027096,0.591146,0.028112,0.520986,0.010508,0.269085,0.000878,0.072891,0.001014,0.211499,0.02325,0.639344,0.029167,192
minus_abandonment_calibration,5,0.751736,0.025869,0.710326,0.002763,0.601363,0.002871,0.036458,0.01035,0.022569,0.009418,0.029514,0.009944,0.554688,0.030243,0.574653,0.029815,0.518776,0.010418,0.26912,0.000974,0.072513,0.001025,0.216878,0.022654,0.624671,0.029178,192
minus_abandonment_calibration,6,0.779514,0.02388,0.711584,0.002751,0.601451,0.003057,0.034722,0.010744,0.019965,0.008399,0.032118,0.010497,0.559028,0.031543,0.549479,0.028344,0.519514,0.0107,0.26942,0.000948,0.07233,0.001013,0.192153,0.020859,0.654042,0.027775,192
minus_abandonment_calibration,7,0.742188,0.024695,0.708609,0.002862,0.60054,0.002833,0.029514,0.010232,0.010417,0.005722,0.030382,0.010601,0.539931,0.029496,0.578125,0.029537,0.52181,0.010534,0.267692,0.000956,0.073129,0.001097,0.224471,0.021498,0.631465,0.027949,192
minus_abandonment_calibration,8,0.764757,0.023912,0.710812,0.002827,0.601563,0.002824,0.029514,0.009944,0.020833,0.008529,0.039062,0.011874,0.521701,0.027386,0.596354,0.028484,0.520997,0.010888,0.268819,0.000973,0.072897,0.000976,0.204799,0.020759,0.638125,0.027193,192
minus_abandonment_calibration,9,0.762153,0.022948,0.709888,0.002744,0.600587,0.002929,0.026042,0.008915,0.018229,0.008128,0.032986,0.010582,0.516493,0.028499,0.58941,0.02563,0.520483,0.010625,0.268954,0.000959,0.073157,0.001079,0.207639,0.020031,0.642791,0.025294,192
minus_active_reacquisition,0,0.727431,0.026009,0.643614,0.002925,0.590328,0.002709,0.013889,0.006533,0.005208,0.004768,0.03125,0.009226,0.382812,0.029648,0.554688,0.030147,0.588367,0.010424,0.229244,0.001028,0.034937,0.00106,0.237648,0.022661,0.638539,0.028278,192
minus_active_reacquisition,1,0.700521,0.024547,0.643497,0.002892,0.589446,0.002795,0.015625,0.0073,0.003472,0.003376,0.046875,0.01216,0.398438,0.028934,0.560764,0.029372,0.58886,0.010866,0.229257,0.000927,0.03517,0.001108,0.260441,0.021205,0.602947,0.027821,192
minus_active_reacquisition,2,0.698785,0.028127,0.645316,0.00289,0.589761,0.00293,0.014757,0.006715,0.00434,0.003764,0.034722,0.011777,0.418403,0.030033,0.549479,0.02751,0.587926,0.010608,0.229333,0.000948,0.035078,0.00106,0.262398,0.024464,0.608812,0.030256,192
minus_active_reacquisition,3,0.697917,0.026714,0.643925,0.00289,0.589991,0.002828,0.012153,0.006602,0.006076,0.00443,0.042535,0.011379,0.394097,0.029073,0.556424,0.027025,0.588551,0.010803,0.228512,0.000944,0.034789,0.001022,0.263434,0.023225,0.60304,0.027633,192
minus_active_reacquisition,4,0.708333,0.026316,0.645577,0.002855,0.590466,0.00279,0.020833,0.007817,0.003472,0.003376,0.032986,0.010016,0.404514,0.02979,0.551215,0.027233,0.590795,0.010795,0.228276,0.001006,0.035121,0.001079,0.253958,0.022853,0.615258,0.028415,192
minus_active_reacquisition,5,0.6875,0.029299,0.642842,0.002928,0.591578,0.002885,0.016493,0.007058,0.001736,0.0024,0.039931,0.011183,0.399306,0.029836,0.555556,0.03026,0.586246,0.010477,0.22921,0.000965,0.034321,0.001013,0.272382,0.025409,0.595735,0.030811,192
minus_active_reacquisition,6,0.700521,0.026154,0.643107,0.002822,0.5914,0.002955,0.017361,0.008342,0.001736,0.003403,0.048611,0.012261,0.376736,0.028797,0.544271,0.028821,0.587703,0.010749,0.229483,0.001004,0.034542,0.001076,0.260868,0.02282,0.600344,0.027246,192
minus_active_reacquisition,7,0.692708,0.024561,0.643868,0.002704,0.59114,0.002862,0.018229,0.007377,0.001736,0.0024,0.047743,0.012211,0.408854,0.028008,0.543403,0.029496,0.590603,0.010732,0.229521,0.001073,0.035151,0.00107,0.267683,0.021369,0.594186,0.028178,192
