split,task,regime,seed,stress,hidden_load,invalid_load,moved_load,substitute_load,hazard_load,reappear_load,human_load,change_load,oracle_success_probability
nominal,shelf_retrieval,visual_occlusion,0,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.891169
nominal,shelf_retrieval,visual_occlusion,1,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.900325
nominal,shelf_retrieval,visual_occlusion,2,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.883687
nominal,shelf_retrieval,visual_occlusion,3,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.910218
nominal,shelf_retrieval,visual_occlusion,4,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.887722
nominal,shelf_retrieval,visual_occlusion,5,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.885331
nominal,shelf_retrieval,visual_occlusion,6,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.905196
nominal,shelf_retrieval,visual_occlusion,7,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.89932
nominal,shelf_retrieval,visual_occlusion,8,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.894634
nominal,shelf_retrieval,visual_occlusion,9,0.1,0.46464,0.035507,0.0749,0.032749,0.08184,0.3864,0.024086,0.03888,0.87976
nominal,shelf_retrieval,object_moved,0,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.886839
nominal,shelf_retrieval,object_moved,1,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.910799
nominal,shelf_retrieval,object_moved,2,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.913081
nominal,shelf_retrieval,object_moved,3,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.894178
nominal,shelf_retrieval,object_moved,4,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.906977
nominal,shelf_retrieval,object_moved,5,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.905513
nominal,shelf_retrieval,object_moved,6,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.896629
nominal,shelf_retrieval,object_moved,7,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.89381
nominal,shelf_retrieval,object_moved,8,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.899335
nominal,shelf_retrieval,object_moved,9,0.1,0.22176,0.124275,0.4494,0.055673,0.15345,0.18354,0.021678,0.0729,0.892316
nominal,shelf_retrieval,object_removed,0,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.89839
nominal,shelf_retrieval,object_removed,1,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.887281
nominal,shelf_retrieval,object_removed,2,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.901052
nominal,shelf_retrieval,object_removed,3,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.908963
nominal,shelf_retrieval,object_removed,4,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.897152
nominal,shelf_retrieval,object_removed,5,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.890059
nominal,shelf_retrieval,object_removed,6,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.900453
nominal,shelf_retrieval,object_removed,7,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.906978
nominal,shelf_retrieval,object_removed,8,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.892187
nominal,shelf_retrieval,object_removed,9,0.1,0.17952,0.395018,0.1498,0.068772,0.19778,0.07728,0.024086,0.10692,0.90517
nominal,shelf_retrieval,human_temporary_obstruction,0,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.908838
nominal,shelf_retrieval,human_temporary_obstruction,1,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.901527
nominal,shelf_retrieval,human_temporary_obstruction,2,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.904554
nominal,shelf_retrieval,human_temporary_obstruction,3,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.884777
nominal,shelf_retrieval,human_temporary_obstruction,4,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.915707
nominal,shelf_retrieval,human_temporary_obstruction,5,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.874854
nominal,shelf_retrieval,human_temporary_obstruction,6,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.884031
nominal,shelf_retrieval,human_temporary_obstruction,7,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.89338
nominal,shelf_retrieval,human_temporary_obstruction,8,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.895151
nominal,shelf_retrieval,human_temporary_obstruction,9,0.1,0.39072,0.079891,0.0963,0.039299,0.24552,0.41538,0.110797,0.07776,0.900462
nominal,shelf_retrieval,goal_specification_changed,0,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.892468
nominal,shelf_retrieval,goal_specification_changed,1,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.894115
nominal,shelf_retrieval,goal_specification_changed,2,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.888612
nominal,shelf_retrieval,goal_specification_changed,3,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.889034
nominal,shelf_retrieval,goal_specification_changed,4,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.881081
nominal,shelf_retrieval,goal_specification_changed,5,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.894355
nominal,shelf_retrieval,goal_specification_changed,6,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.904478
nominal,shelf_retrieval,goal_specification_changed,7,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.876005
nominal,shelf_retrieval,goal_specification_changed,8,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.889582
nominal,shelf_retrieval,goal_specification_changed,9,0.1,0.14784,0.337318,0.214,0.111346,0.16368,0.08694,0.040947,0.42768,0.900714
nominal,shelf_retrieval,substitute_goal_available,0,0.1,0.22176,0.275181,0.1926,0.14737,0.1364,0.1449,0.033721,0.21384,0.888281
nominal,shelf_retrieval,substitute_goal_available,1,0.1,0.22176,0.275181,0.1926,0.14737,0.1364,0.1449,0.033721,0.21384,0.884992
nominal,shelf_retrieval,substitute_goal_available,2,0.1,0.22176,0.275181,0.1926,0.14737,0.1364,0.1449,0.033721,0.21384,0.905792
nominal,shelf_retrieval,substitute_goal_available,3,0.1,0.22176,0.275181,0.1926,0.14737,0.1364,0.1449,0.033721,0.21384,0.877385
nominal,shelf_retrieval,substitute_goal_available,4,0.1,0.22176,0.275181,0.1926,0.14737,0.1364,0.1449,0.033721,0.21384,0.90695
nominal,shelf_retrieval,substitute_goal_available,5,0.1,0.22176,0.275181,0.1926,0.14737,0.1364,0.1449,0.033721,0.21384,0.879467
nominal,shelf_retrieval,substitute_goal_available,6,0.1,0.22176,0.275181,0.1926,0.14737,0.1364,0.1449,0.033721,0.21384,0.903124
