risk_budget,method,mean_mean_coverage,ci95_mean_coverage,mean_mean_success,ci95_mean_success,mean_mean_goal_validity_f1,ci95_mean_goal_validity_f1,mean_mean_stale_goal_pursuit,ci95_mean_stale_goal_pursuit,mean_mean_unsafe_reach,ci95_mean_unsafe_reach,mean_mean_false_abandonment,ci95_mean_false_abandonment,mean_mean_reappearance_recovery,ci95_mean_reappearance_recovery,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_ece,ci95_mean_ece,mean_mean_utility,ci95_mean_utility,groups
0.05,active_subgoal_probe_policy,0.369444,0.012526,0.172743,0.008978,0.533993,0.000935,0.074132,0.005464,0.013368,0.004733,0.077604,0.005488,0.441146,0.014966,0.280016,0.000302,0.113178,0.000239,0.00834,0.009673,10
0.05,active_viewpoint_reacquisition,0.296528,0.012921,0.106771,0.008935,0.42349,0.000463,0.134028,0.009873,0.044271,0.003736,0.111111,0.006691,0.398958,0.006649,0.254474,0.000329,0.145355,8.4e-05,-0.083541,0.008086,10
0.05,conformal_goal_validity_filter,0.455903,0.010173,0.199653,0.009017,0.5268,0.000265,0.056944,0.006839,0.001389,0.000849,0.118576,0.005099,0.333333,0.010271,0.240846,0.000255,0.071681,0.000147,0.031093,0.009684,10
0.05,failure_aware_manipulation_policy,0.345486,0.012923,0.140799,0.00955,0.48195,0.000372,0.072917,0.005649,0.015799,0.002508,0.121007,0.008489,0.344618,0.008833,0.239542,0.000216,0.120172,0.000194,-0.0335,0.009294,10
0.05,goal_retargeting_heuristic,0.29566,0.007727,0.111285,0.00848,0.395624,0.000812,0.098264,0.006733,0.030729,0.004453,0.158333,0.01096,0.283854,0.009534,0.230327,0.000282,0.138549,0.00022,-0.086043,0.008695,10
0.05,learned_goal_state_classifier,0.382118,0.013435,0.172917,0.009707,0.547442,0.000392,0.073785,0.0057,0.008854,0.002508,0.122049,0.004678,0.360243,0.016587,0.230508,0.000342,0.102266,0.000143,0.001488,0.01132,10
0.05,oracle_goal_state_supervisor,1.0,0.0,0.856076,0.009151,0.788272,0.000608,0.0,0.0,0.0,0.0,0.009896,0.00325,0.589063,0.008085,0.340242,0.000457,0.017617,0.000164,0.787608,0.010235,10
0.05,pomdp_belief_planner,0.340451,0.010694,0.133507,0.011672,0.486391,0.000387,0.096354,0.006421,0.027431,0.002526,0.124826,0.00618,0.365625,0.016392,0.237766,0.000405,0.123965,0.000182,-0.051433,0.010229,10
0.05,proposed_disappearing_goal_belief_revision_v4,0.417535,0.009148,0.242535,0.011102,0.637654,0.000446,0.028125,0.005168,0.000868,0.000761,0.061111,0.005193,0.465625,0.013245,0.267062,0.000242,0.082518,0.00017,0.108732,0.012262,10
0.05,risk_budgeted_goal_recovery,0.449479,0.013251,0.223438,0.012374,0.533043,0.000364,0.054861,0.010472,0.0,0.0,0.107813,0.013105,0.393056,0.011127,0.265867,0.000128,0.082403,0.000195,0.058069,0.016024,10
0.05,risk_calibrated_goal_belief_revision_v5,0.481424,0.011788,0.323264,0.013352,0.723644,0.000451,0.000521,0.00052,0.0,0.0,0.025,0.002878,0.536806,0.011532,0.295857,0.000318,0.034917,0.000205,0.221192,0.013497,10
0.05,robust_mpc_replan,0.37309,0.013691,0.161111,0.013049,0.450162,0.000516,0.079167,0.007231,0.01059,0.00107,0.142535,0.00971,0.339062,0.01542,0.251388,0.000308,0.115543,0.000212,-0.022163,0.011477,10
0.1,active_subgoal_probe_policy,0.511458,0.015429,0.253472,0.010433,0.534003,0.000637,0.08316,0.005084,0.020833,0.00344,0.072743,0.005497,0.442014,0.006175,0.297938,0.000404,0.113315,0.000242,0.074367,0.011198,10
