risk_budget,method,seed,mean_coverage,ci95_coverage,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_intervention_cost,ci95_intervention_cost,mean_ece,ci95_ece,mean_utility,ci95_utility,groups
0.05,active_subgoal_probe_policy,0,0.34375,0.039759,0.154514,0.030846,0.532354,0.003259,0.088542,0.023001,0.013889,0.010607,0.083333,0.021577,0.430556,0.039444,0.279441,0.001018,0.113484,0.001083,-0.021087,0.03276,192
0.05,active_subgoal_probe_policy,1,0.355903,0.038917,0.157986,0.028923,0.534283,0.003208,0.069444,0.020939,0.005208,0.005863,0.092014,0.024213,0.430556,0.04003,0.280301,0.001065,0.113058,0.001036,-0.010389,0.030142,192
0.05,active_subgoal_probe_policy,2,0.368056,0.03736,0.170139,0.030127,0.533812,0.003261,0.074653,0.022468,0.006944,0.006752,0.072917,0.022323,0.411458,0.0424,0.280525,0.001065,0.112677,0.001089,0.016672,0.033197,192
0.05,active_subgoal_probe_policy,3,0.355903,0.040672,0.173611,0.029332,0.537081,0.003219,0.076389,0.021008,0.008681,0.007529,0.079861,0.02184,0.473958,0.041058,0.280359,0.001011,0.113403,0.001043,0.005121,0.029774,192
0.05,active_subgoal_probe_policy,4,0.376736,0.036065,0.152778,0.027646,0.5342,0.003253,0.057292,0.018476,0.017361,0.010504,0.083333,0.02263,0.458333,0.040798,0.280286,0.000997,0.113432,0.001055,-0.002291,0.029981,192
0.05,active_subgoal_probe_policy,5,0.362847,0.036346,0.178819,0.029692,0.534397,0.003216,0.085069,0.02224,0.006944,0.006752,0.074653,0.020856,0.414931,0.038823,0.279069,0.001023,0.113339,0.001069,0.011356,0.030773,192
0.05,active_subgoal_probe_policy,6,0.394097,0.040743,0.192708,0.032871,0.531791,0.00323,0.069444,0.020375,0.026042,0.013573,0.0625,0.019072,0.442708,0.04127,0.279865,0.001168,0.113065,0.001109,0.030253,0.034806,192
0.05,active_subgoal_probe_policy,7,0.375,0.041082,0.189236,0.030728,0.53445,0.003299,0.078125,0.021156,0.017361,0.011559,0.083333,0.021031,0.414931,0.040295,0.279847,0.000967,0.113777,0.001124,0.020229,0.03297,192
0.05,active_subgoal_probe_policy,8,0.352431,0.041276,0.170139,0.030511,0.534966,0.003268,0.072917,0.021255,0.006944,0.006752,0.065972,0.020606,0.461806,0.03971,0.279892,0.001046,0.113034,0.001103,0.01454,0.032006,192
0.05,active_subgoal_probe_policy,9,0.409722,0.040643,0.1875,0.033644,0.5326,0.003231,0.069444,0.020939,0.024306,0.013204,0.078125,0.021699,0.472222,0.041877,0.280575,0.001084,0.112509,0.001045,0.018992,0.036054,192
0.05,active_viewpoint_reacquisition,0,0.309028,0.0369,0.104167,0.023943,0.424183,0.003298,0.151042,0.029265,0.045139,0.01688,0.112847,0.027078,0.40625,0.041055,0.254407,0.001042,0.145485,0.001109,-0.084758,0.027178,192
0.05,active_viewpoint_reacquisition,1,0.302083,0.037109,0.128472,0.028025,0.423497,0.003223,0.135417,0.029012,0.041667,0.017728,0.112847,0.023388,0.40625,0.038721,0.25451,0.00102,0.145421,0.001058,-0.061624,0.031838,192
0.05,active_viewpoint_reacquisition,2,0.288194,0.038369,0.090278,0.023616,0.422703,0.003267,0.125,0.028339,0.03125,0.013779,0.130208,0.027654,0.402778,0.041176,0.255196,0.001096,0.145518,0.001033,-0.101617,0.024149,192
0.05,active_viewpoint_reacquisition,3,0.267361,0.036503,0.09375,0.024793,0.423867,0.003413,0.105903,0.026781,0.050347,0.017602,0.095486,0.02345,0.390625,0.04252,0.254637,0.001065,0.145478,0.001074,-0.099973,0.027909,192
0.05,active_viewpoint_reacquisition,4,0.269097,0.037353,0.098958,0.026444,0.423794,0.003359,0.109375,0.025605,0.043403,0.016625,0.116319,0.026781,0.388889,0.038999,0.253202,0.001046,0.145341,0.001098,-0.086439,0.028115,192
0.05,active_viewpoint_reacquisition,5,0.335069,0.040511,0.128472,0.028025,0.422453,0.003258,0.142361,0.027501,0.041667,0.016362,0.118056,0.025512,0.392361,0.040075,0.255049,0.001202,0.145403,0.001048,-0.073855,0.029341,192
0.05,active_viewpoint_reacquisition,6,0.314236,0.038047,0.088542,0.023502,0.423467,0.002993,0.133681,0.028569,0.050347,0.018252,0.09375,0.024319,0.418403,0.038673,0.254376,0.001028,0.145092,0.001076,-0.094313,0.026909,192
0.05,active_viewpoint_reacquisition,7,0.286458,0.036935,0.111111,0.025682,0.423345,0.003327,0.142361,0.029145,0.052083,0.018471,0.109375,0.026935,0.397569,0.040922,0.254542,0.000993,0.145303,0.001085,-0.084642,0.02934,192
0.05,active_viewpoint_reacquisition,8,0.288194,0.038064,0.114583,0.026275,0.422698,0.003291,0.145833,0.027978,0.045139,0.01688,0.105903,0.024512,0.404514,0.039529,0.254465,0.001146,0.145195,0.001072,-0.079346,0.028042,192
0.05,active_viewpoint_reacquisition,9,0.305556,0.034904,0.109375,0.025605,0.42489,0.003169,0.149306,0.02964,0.041667,0.017728,0.116319,0.027212,0.381944,0.041212,0.254355,0.001066,0.145312,0.000991,-0.068843,0.027136,192
0.05,conformal_goal_validity_filter,0,0.472222,0.039296,0.217014,0.033361,0.527072,0.003334,0.072917,0.021795,0.0,0.0,0.112847,0.026645,0.321181,0.037177,0.240572,0.001063,0.071619,0.001112,0.046958,0.036192,192
0.05,conformal_goal_validity_filter,1,0.477431,0.03995,0.210069,0.031407,0.527447,0.003141,0.060764,0.018879,0.0,0.0,0.119792,0.026908,0.347222,0.041176,0.241131,0.001158,0.071739,0.001086,0.033029,0.034433,192
0.05,conformal_goal_validity_filter,2,0.460069,0.042781,0.213542,0.034151,0.526047,0.003239,0.052083,0.01783,0.001736,0.003403,0.114583,0.027146,0.352431,0.041557,0.241059,0.000973,0.071312,0.001054,0.048505,0.036434,192
0.05,conformal_goal_validity_filter,3,0.472222,0.039884,0.213542,0.032402,0.526635,0.003226,0.065972,0.020033,0.0,0.0,0.125,0.027506,0.309028,0.038746,0.240637,0.001103,0.07188,0.001034,0.041179,0.033655,192
0.05,conformal_goal_validity_filter,4,0.425347,0.040708,0.184028,0.030415,0.527367,0.003414,0.059028,0.021025,0.003472,0.0048,0.131944,0.028527,0.342014,0.037817,0.240469,0.00099,0.071712,0.001072,0.007176,0.033521,192
0.05,conformal_goal_validity_filter,5,0.453125,0.040397,0.208333,0.032186,0.526542,0.003217,0.048611,0.019274,0.003472,0.0048,0.104167,0.023943,0.317708,0.038079,0.241382,0.001047,0.071715,0.001001,0.047897,0.033013,192
0.05,conformal_goal_validity_filter,6,0.435764,0.041064,0.192708,0.033223,0.526995,0.003434,0.071181,0.021643,0.001736,0.003403,0.118056,0.026408,0.336806,0.03949,0.241202,0.001029,0.071631,0.001151,0.024353,0.035743,192
0.05,conformal_goal_validity_filter,7,0.453125,0.041252,0.180556,0.031577,0.526647,0.00299,0.048611,0.017368,0.001736,0.003403,0.111111,0.025225,0.34375,0.037344,0.241012,0.001144,0.071851,0.001089,0.016415,0.032367,192
0.05,conformal_goal_validity_filter,8,0.460069,0.043053,0.180556,0.031944,0.526475,0.00324,0.052083,0.01783,0.0,0.0,0.126736,0.029198,0.350694,0.03912,0.240974,0.001161,0.071296,0.001114,0.010856,0.035836,192
0.05,conformal_goal_validity_filter,9,0.449653,0.039731,0.196181,0.032455,0.526772,0.003244,0.038194,0.015812,0.001736,0.003403,0.121528,0.028232,0.3125,0.037567,0.24002,0.001048,0.072055,0.000997,0.034562,0.032857,192
0.05,failure_aware_manipulation_policy,0,0.328125,0.035611,0.151042,0.029265,0.48205,0.003189,0.09375,0.024319,0.008681,0.007529,0.130208,0.028484,0.348958,0.036519,0.239295,0.001073,0.120208,0.001099,-0.031854,0.031571,192
0.05,failure_aware_manipulation_policy,1,0.371528,0.03852,0.163194,0.03272,0.481452,0.00325,0.074653,0.020856,0.017361,0.011559,0.111111,0.025682,0.342014,0.040493,0.239272,0.001044,0.119974,0.001132,-0.018154,0.033314,192
0.05,failure_aware_manipulation_policy,2,0.354167,0.039969,0.125,0.027926,0.482703,0.003242,0.078125,0.021699,0.017361,0.010504,0.121528,0.026967,0.369792,0.03557,0.23909,0.000998,0.119786,0.001013,-0.039745,0.02974,192
