stress_level,method,mean_mean_success,ci95_mean_success,mean_mean_goal_validity_f1,ci95_mean_goal_validity_f1,mean_mean_retarget_precision,ci95_mean_retarget_precision,mean_mean_stale_goal_pursuit,ci95_mean_stale_goal_pursuit,mean_mean_unsafe_reach,ci95_mean_unsafe_reach,mean_mean_false_abandonment,ci95_mean_false_abandonment,mean_mean_reappearance_recovery,ci95_mean_reappearance_recovery,mean_mean_substitute_goal_success,ci95_mean_substitute_goal_success,mean_mean_belief_update_latency,ci95_mean_belief_update_latency,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_ece,ci95_mean_ece,mean_mean_regret,ci95_mean_regret,mean_mean_utility,ci95_mean_utility,groups
0.1,active_viewpoint_reacquisition,0.608681,0.025606,0.489744,0.000853,0.323374,0.000835,0.099306,0.009582,0.048611,0.007386,0.063542,0.007663,0.439931,0.019726,0.288542,0.016215,0.630825,0.00129,0.245476,0.000643,0.120689,0.000299,0.346143,0.022745,0.363251,0.025359,10
0.1,conformal_goal_validity_filter,0.635069,0.014647,0.592935,0.000844,0.452543,0.000662,0.053125,0.009943,0.014583,0.003769,0.052083,0.010196,0.38125,0.028001,0.430208,0.0195,0.56935,0.001258,0.217727,0.0005,0.047139,0.000501,0.322553,0.012718,0.492108,0.010106,10
0.1,failure_aware_manipulation_policy,0.635417,0.017776,0.547453,0.000943,0.466466,0.000899,0.05625,0.008103,0.025694,0.004887,0.05,0.008971,0.40625,0.027987,0.435764,0.019282,0.598031,0.001533,0.225679,0.000584,0.095993,0.000631,0.322282,0.015759,0.468902,0.021236,10
0.1,goal_retargeting_heuristic,0.6125,0.023228,0.460878,0.000587,0.472215,0.00104,0.064931,0.009465,0.031597,0.004238,0.074306,0.011306,0.344444,0.011469,0.432986,0.011833,0.668829,0.001322,0.219008,0.000719,0.114313,0.000299,0.342851,0.020653,0.410124,0.024128,10
0.1,learned_goal_state_classifier,0.657639,0.015592,0.613243,0.000937,0.4749,0.001242,0.055556,0.011206,0.023264,0.003936,0.055208,0.010662,0.412847,0.018526,0.432292,0.015294,0.551857,0.001186,0.214305,0.00056,0.07781,0.000413,0.30268,0.013961,0.49921,0.01959,10
0.1,oracle_goal_state_supervisor,0.887153,0.014284,0.854363,0.000959,0.700311,0.001304,0.0,0.0,0.0,0.0,0.0,0.0,0.643056,0.016756,0.657292,0.017603,0.354572,0.001517,0.275509,0.000554,0.001726,8.4e-05,0.0,0.0,0.854221,0.014265,10
0.1,pomdp_belief_planner,0.615278,0.017943,0.551866,0.001051,0.417978,0.000808,0.074653,0.009476,0.028819,0.004655,0.061806,0.008292,0.410417,0.02173,0.378819,0.0191,0.59213,0.001244,0.224911,0.000606,0.099451,0.00042,0.340189,0.015786,0.421835,0.02078,10
0.1,risk_budgeted_goal_recovery,0.690625,0.019995,0.598805,0.000997,0.493257,0.001191,0.039583,0.00627,0.009722,0.002443,0.043056,0.007259,0.434722,0.01736,0.462153,0.019814,0.559045,0.001568,0.243443,0.00064,0.057884,0.000311,0.273416,0.017651,0.563265,0.023187,10
0.1,risk_calibrated_goal_belief_revision_v5,0.805208,0.009702,0.789422,0.000653,0.645324,0.001062,0.002083,0.001505,0.000347,0.000681,0.001389,0.001111,0.586111,0.013717,0.59375,0.021232,0.405154,0.001195,0.272425,0.000546,0.010356,0.000151,0.172205,0.008629,0.761461,0.010545,10
0.1,robust_mpc_replan,0.647222,0.025224,0.516071,0.000911,0.462717,0.000738,0.055208,0.0091,0.018056,0.00581,0.066319,0.010467,0.403819,0.017921,0.446875,0.020292,0.625817,0.001926,0.235965,0.000436,0.091286,0.000706,0.31201,0.02243,0.475586,0.028229,10
0.2,active_viewpoint_reacquisition,0.590972,0.02142,0.47595,0.000769,0.316062,0.00063,0.104514,0.010269,0.047917,0.00993,0.061111,0.011883,0.415625,0.014421,0.284375,0.025674,0.654209,0.001591,0.246049,0.000404,0.124833,0.000355,0.360673,0.018772,0.341065,0.024975,10
0.2,conformal_goal_validity_filter,0.640278,0.013769,0.580303,0.000693,0.44505,0.00088,0.055208,0.011851,0.021528,0.004737,0.050694,0.007116,0.387847,0.026534,0.393056,0.020285,0.593332,0.001582,0.218703,0.000506,0.051444,0.00025,0.317286,0.012147,0.485875,0.019643,10
0.2,failure_aware_manipulation_policy,0.640278,0.015123,0.534122,0.000884,0.457117,0.000797,0.073264,0.014256,0.026736,0.005373,0.060069,0.007319,0.388889,0.019646,0.414583,0.01162,0.621334,0.00139,0.226333,0.000448,0.099946,0.000379,0.31699,0.013419,0.450016,0.020602,10
0.2,goal_retargeting_heuristic,0.590625,0.013128,0.447888,0.000902,0.464435,0.001147,0.073264,0.007953,0.039236,0.006258,0.0875,0.008656,0.340278,0.02029,0.431944,0.018069,0.692653,0.001486,0.21919,0.000402,0.118647,0.000416,0.361066,0.011549,0.364583,0.01449,10
